ZIP_CODE,CITY,PHYSICAL DELV ADDR,STATE
67862,MANTER,216 N MAIN ST,KS
67950,ELKHART,336 MORTON ST,KS
67953,RICHFIELD,223 7TH ST,KS
73933,BOISE CITY,114 N CIMARRON AVE,OK
73937,FELT,101 LINCOLN ST,OK
73939,GOODWELL,105 S MAIN ST,OK
73946,KENTON,100 NEWBERT,OK
73947,KEYES,513 POLK AVE,OK
73949,TEXHOMA,114 S 2ND ST,OK
73949,TEXHOMA,114 S 2ND ST,OK
79001,ADRIAN,201 HISTORIC ROUTE 66,TX
79009,BOVINA,108 2ND ST,TX
79010,BOYS RANCH,8 JULIAN BIVINS BLVD,TX
79012,BUSHLAND,300 SIMMONS RD,TX
79013,CACTUS,103 NORTH DR,TX
79015,CANYON,1304 4TH AVE,TX
79018,CHANNING,705 ROCK ISLAND ST,TX
79018,CHANNING,705 ROCK ISLAND ST,TX
79021,COTTON CENTER,2359 FM 179,TX
79022,DALHART,702 W 7TH ST,TX
79025,DAWN,101 FRYE AVE,TX
79027,DIMMITT,217 SE 2ND ST,TX
79027,DIMMITT,217 SE 2ND ST,TX
79029,DUMAS,315 S BLISS AVE,TX
79029,DUMAS,315 S BLISS AVE,TX
79031,EARTH,105 N AMHERST RD,TX
79032,EDMONSON,100 E 1ST ST,TX
79035,FRIONA,1010 MAIN ST,TX
79035,FRIONA,1010 MAIN ST,TX
79036,FRITCH,107 N HOYNE AVE,TX
79040,GRUVER,301 MAIN ST,TX
79041,HALE CENTER,203 W STEVENSON AVE,TX
79042,HAPPY,202 MAIN ST,TX
79042,HAPPY,202 MAIN ST,TX
79043,HART,600 BROADWAY ST,TX
79043,HART,600 BROADWAY ST,TX
79044,HARTLEY,210 WHITE ST,TX
79045,HEREFORD,408 MAIN ST,TX
79052,KRESS,400 SKIPWORTH ST,TX
79053,LAZBUDDIE,610 FM 1172,TX
79062,MORSE,200 MAIN ST,TX
79063,NAZARETH,101 SAINT JOSEPH ST,TX
79064,OLTON,416 8TH ST,TX
79072,PLAINVIEW,725 ASH ST,TX
79072,PLAINVIEW,725 ASH ST,TX
79072,PLAINVIEW,725 ASH ST,TX
79072,PLAINVIEW,725 ASH ST,TX
79078,SANFORD,305 E MAIN ST,TX
79082,SPRINGLAKE,108 W MAIN ST,TX
79083,STINNETT,431 S MAIN ST,TX
79084,STRATFORD,201 N MAIN ST,TX
79086,SUNRAY,400 MAIN ST,TX
79087,TEXLINE,303 S 2ND ST,TX
79088,TULIA,129 N ARMSTRONG AVE,TX
79091,UMBARGER,25380 STOREY ST,TX
79092,VEGA,222 N MAIN ST,TX
79092,VEGA,222 N MAIN ST,TX
79094,WAYSIDE,8471 FM 285,TX
79098,WILDORADO,306 N LOCUST ST,TX
79109,AMARILLO,5000 S WESTERN ST,TX
79109,AMARILLO,5000 S WESTERN ST,TX
79109,AMARILLO,5000 S WESTERN ST,TX
79109,AMARILLO,5000 S WESTERN ST,TX
79124,AMARILLO,8301 W AMARILLO BLVD,TX
79124,AMARILLO,8301 W AMARILLO BLVD,TX
79124,AMARILLO,8301 W AMARILLO BLVD,TX
79124,AMARILLO,8301 W AMARILLO BLVD,TX
79124,AMARILLO,8301 W AMARILLO BLVD,TX
79241,LOCKNEY,107 N MAIN ST,TX
79250,PETERSBURG,1501 E 1ST ST,TX
79311,ABERNATHY,801 AVENUE D,TX
79312,AMHERST,815 MAIN ST,TX
79313,ANTON,306 LAWRENCE ST,TX
79314,BLEDSOE,512 4TH ST,TX
79316,BROWNFIELD,301 W HILL ST,TX
79316,BROWNFIELD,301 W HILL ST,TX
79323,DENVER CITY,107 E 4TH ST,TX
79324,ENOCHS,3010 STATE HIGHWAY 214,TX
79325,FARWELL,120 4TH ST,TX
79329,IDALOU,311 MAIN ST,TX
79331,LAMESA,202 N AVENUE G,TX
79331,LAMESA,202 N AVENUE G,TX
79336,LEVELLAND,712 AVENUE G,TX
79336,LEVELLAND,712 AVENUE G,TX
79339,LITTLEFIELD,801 PHELPS AVE,TX
79339,LITTLEFIELD,801 PHELPS AVE,TX
79339,LITTLEFIELD,801 PHELPS AVE,TX
79342,LOOP,895 STATE HIGHWAY 83 E,TX
79343,LORENZO,225 US HIGHWAY 82,TX
